label,x,y,width,height,filename,resX,resY
Large Dim Peak,0,469,5,10,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_7_1_Z.jpg,514,514
Large Bright Peak,446,301,7,11,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_17_1_Z.jpg,514,514
Large Bright Peak,237,440,7,10,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_17_1_Z.jpg,514,514
Large Bright Peak,346,96,7,13,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_500x500_6_6_Z.jpg,514,514
Large Bright Peak,346,94,7,13,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_500x500_6_5_Z.jpg,514,514
Large Dim Peak,450,388,8,26,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_500x500_16_1_Z.jpg,514,514
Large Bright Peak,276,387,8,11,WSe2_1 to 5 ratio_SL333_No Wool_201029_1V_250X250_12_10_Z.jpg,514,514
Large Bright Peak,263,453,8,11,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_2_Z.jpg,514,514
Large Bright Peak,431,283,8,9,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_17_1_Z.jpg,514,514
Large Bright Peak,394,169,8,14,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_7_2_Z.jpg,514,514
Large Dim Peak,482,290,8,11,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_1000x1000_7_2_Z.jpg,514,514
Large Bright Peak,102,28,8,10,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_500x500_6_6_Z.jpg,514,514
Large Bright Peak,87,24,8,6,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_500x500_6_5_Z.jpg,514,514
Large Bright Peak,349,90,8,7,WSe2_1 to 100 ratio_SL410_No Wool_210205_1V_500x500_6_4_Z.jpg,514,514
Large Bright Peak,255,229,9,9,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_500x500_16_3_Z.jpg,514,514
Large Bright Peak,426,310,9,9,WSe2_1 to 100 ratio_SL300_No Wool_200901_1V_500x500_16_3_Z.jpg,514,514
Large Bright Peak,317,37,9,14,WSe2_1 to 5 ratio_SL333_No Wool_201029_1V_250X250_12_11_Z.jpg,514,514
Large Bright Peak,272,394,9,17,WSe2_1 to 5 ratio_SL333_No Wool_201029_1V_250X250_12_8_Z.jpg,514,514
Large Dim Peak,505,132,9,19,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_3_Z.jpg,514,514
Large Bright Peak,463,28,9,11,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_2_Z.jpg,514,514
Large Dim Peak,435,81,9,16,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_2_Z.jpg,514,514
Large Dim Peak,505,131,9,30,WSe2_1 to 5 ratio_SL333_No Wool_201108_1V_500x500_4_2_Z.jpg,514,514
Large Bright Peak,150,354,9,21,WSe2_1 to 100 ratio_SL358_No Wool_201202_1V_500x500_20_2_Z.jpg,514,514
